cnts	coverage	pmf	pdf
0	6	9.357622968840174e-08	0.022280873345249662
1	6	2.807286890652049e-06	0.05956463028075584
2	3	4.210930335978075e-05	0.15401683987052772
3	4	0.000421093033597808	0.38518687760999387
4	2	0.0031581977519835555	0.9317475847996302
5	8	0.01894918651190139	2.179960303566103
6	2	0.09474593255950689	4.9331283172711355
7	6	0.4060539966836011	10.797414067457101
8	19	1.522702487563499	22.858125760180652
9	10	5.075674958544996	46.80421832112831
10	14	15.22702487563506	92.69427082481593
11	59	41.528249660822915	177.55966038060657
12	136	103.82062415205701	328.9722280329044
13	258	239.5860557355168	589.5188332250061
14	522	513.3986908618209	1021.7852967769082
15	1116	1026.7973817236366	1712.9517550697417
16	1961	1925.2450907318223	2777.5004048153005
17	3574	3397.4913365855796	4355.987730075711
18	6057	5662.485560975955	6607.583832858216
19	9364	8940.766675225197	9694.428977294496
20	13560	13411.150012837837	13757.049563820736
21	19291	19158.785732625533	18882.16932766336
22	26225	26125.616908125685	25066.978648141823
23	33672	34076.891619293965	32186.637703783013
24	42276	42596.11452411773	39973.55278034666
25	50764	51115.33742894147	48016.82106053521
26	58444	58979.235494932516	55787.586935086394
27	64769	65532.48388325897	62691.00992275208
28	69626	70213.37558920529	68139.11255361477
29	72607	72634.52647159182	71632.67956032792
30	72566	72634.52647159182	72836.56203947194
31	70067	70291.4772305727	71632.67956032792
32	65437	65898.25990366239	68139.11255361477
33	59724	59907.50900332832	62691.00992275208
34	53642	52859.56676764401	55787.586935086394
35	46243	45308.20008655222	48016.82106053521
36	38029	37756.83340545924	39973.55278034666
37	31386	30613.648707130018	32186.637703783013
38	24564	24168.670031944206	25066.978648141823
39	18511	18591.284639957044	18882.16932766336
40	13602	13943.463479967897	13757.049563820736
41	9992	10202.534253634987	9694.428977294496
42	7108	7287.524466882295	6607.583832858216
43	5122	5084.319395499109	4355.987730075711
44	3382	3466.581406022232	2777.5004048153005
45	2237	2311.0542706813662	1712.9517550697417
46	1413	1507.2093069661626	1021.7852967769082
47	909	962.0484938081734	589.5188332250061
48	663	601.2803086301152	328.9722280329044
49	437	368.13080120212123	177.55966038060657
50	264	220.87848072126846	92.69427082481593
51	167	129.92851807133277	46.80421832112831
52	93	74.95876042576832	22.858125760180652
53	43	42.42948703345286	10.797414067457101
54	17	23.571937240807653	4.9331283172711355
55	4	12.857420313167506	2.179960303566103
56	6	6.887903739197087	0.9317475847996302
57	8	3.6252124943142934	0.38518687760999387
58	3	1.8751099108521672	0.15401683987052772
