cnts	coverage	pmf	pdf
0	50704	49787.06836786395	51393.44326792309
1	149546	149361.20510359184	118255.07390945918
2	222686	224041.80765538776	194969.65572274115
3	225375	224041.80765538776	230329.43298089033
4	166645	168031.35574154084	194969.65572274115
5	100207	100818.81344492457	118255.07390945918
6	50115	50409.40672246224	51393.44326792309
7	22370	21604.03145248382	16004.083921703219
8	8369	8101.511794681433	3570.9938084785485
9	2917	2700.503931560479	570.9295833517095
10	892	810.1511794681438	65.40503306999868
11	151	220.95032167312996	5.368772049546887
12	23	55.23758041828258	0.3157722290068457
