cnts	coverage	pmf	pdf
0	49054	0.0	6067.311902576731
1	150018	0.0	15271.564662269682
2	225340	0.0	32957.64820969571
3	222462	49787.06836786395	60983.78230781643
4	167173	149361.20510359184	96751.55716968115
5	101329	224041.80765538776	131609.43807960598
6	51479	224041.80765538776	153497.5933029047
7	21769	168031.35574154084	153497.5933029047
8	8136	100818.81344492457	131609.43807960598
9	2440	50409.40672246224	96751.55716968115
10	585	21604.03145248382	60983.78230781643
11	172	8101.511794681433	32957.64820969571
12	27	2700.503931560479	15271.564662269682
13	16	810.1511794681438	6067.311902576731
